id,CustomerNumber,item_id,description,quantity_used,delivery_frequency,delivery_day,billing_type,billing_frequency,customer_price,unit_price,billing_percentage,auto_soil_count,last_delivery_date
207,320635,80101100,TOWEL-ROLL-BLUE-LRG,1,Weekly,5,,Monthly,,,,,
208,322116,80101100,TOWEL-ROLL-BLUE-LRG,1,Weekly,5,,Monthly,,,,,
209,320179,86940305,Mat-Kleen-Scrape-3x5,2,Weekly,5,,Monthly,,,,,
210,320180,86940305,Mat-Kleen-Scrape-3x5,1,Weekly,5,,Monthly,,,,,
211,320825,86954048,MAT-CMPLTCMFT-3X5,1,Weekly,5,,Monthly,,,,,
212,171573,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,5,,Monthly,,,,,
213,233643,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,5,,Monthly,,,,,
214,237322,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,5,,Monthly,,,,,
215,290083,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,5,,Monthly,,,,,
216,303253,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,5,,Monthly,,,,,
217,304339,87399023,MOP-WET-TUBE-MF-BL-L,6,Weekly,5,,Monthly,,,,,
218,306464,87399023,MOP-WET-TUBE-MF-BL-L,3,Weekly,5,,Monthly,,,,,
219,311744,87399023,MOP-WET-TUBE-MF-BL-L,30,Weekly,5,,Monthly,,,,,
220,318143,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,5,,Monthly,,,,,
221,319868,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,5,,Monthly,,,,,
222,320605,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,5,,Monthly,,,,,
223,320635,87399023,MOP-WET-TUBE-MF-BL-L,1,Weekly,5,,Monthly,,,,,
224,320826,87399023,MOP-WET-TUBE-MF-BL-L,10,Weekly,5,,Monthly,,,,,
225,321845,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,5,,Monthly,,,,,
226,323106,87399023,MOP-WET-TUBE-MF-BL-L,12,Weekly,5,,Monthly,,,,,
227,323109,87399023,MOP-WET-TUBE-MF-BL-L,50,Weekly,5,,Monthly,,,,,
228,321728,7244000,Hyperbaric-Pat-Gown,10,Weekly,2,,Monthly,,,,,
229,321728,7244234,Hyperbaric-Plw Slip,20,Weekly,2,,Monthly,,,,,
230,321728,7246604,Hyperbaric-Twin Sht,55,Weekly,2,,Monthly,,,,,
231,321728,7247090,Hyperbaric-Bath Blnk,20,Weekly,2,,Monthly,,,,,
232,300828,11100000,GRILL-PAD,20,Weekly,2,,Monthly,,,,,
233,257330,11601837,TOWEL-FACE,20,Weekly,2,,Monthly,,,,,
234,257404,11601837,TOWEL-FACE,40,Weekly,2,,Monthly,,,,,
235,262451,11601837,TOWEL-FACE,40,Weekly,2,,Monthly,,,,,
236,274672,11601837,TOWEL-FACE,40,Weekly,2,,Monthly,,,,,
237,291135,11601837,TOWEL-FACE,200,Weekly,2,,Monthly,,,,,
238,312246,11601837,TOWEL-FACE,20,Weekly,2,,Monthly,,,,,
239,312248,11601837,TOWEL-FACE,10,Weekly,2,,Monthly,,,,,
240,317006,11601837,TOWEL-FACE,40,Weekly,2,,Monthly,,,,,
241,297617,12221818,Towel-Shop-Blue,50,Weekly,2,,Monthly,,,,,
242,257330,12240000,Towel-Shop-Dyed,50,Weekly,2,,Monthly,,,,,
243,257404,12240000,Towel-Shop-Dyed,50,Weekly,2,,Monthly,,,,,
244,291128,12240000,Towel-Shop-Dyed,50,Weekly,2,,Monthly,,,,,
245,291130,12240000,Towel-Shop-Dyed,150,Weekly,2,,Monthly,,,,,
246,291132,12240000,Towel-Shop-Dyed,250,Weekly,2,,Monthly,,,,,
247,291132,12940000,COVER-FENDER-AUTO,4,Weekly,2,,Monthly,,,,,
248,297617,12940000,COVER-FENDER-AUTO,1,Weekly,2,,Monthly,,,,,
249,300828,14200002,Twl-Micro-Grn-15x16 ,60,Weekly,2,,Monthly,,,,,
250,321728,14200003,TWL-MICRO-YLW-15X16,10,Weekly,2,,Monthly,,,,,
251,244613,40304234,SLIP-P-42X36,50,Weekly,2,,Monthly,,,,,
252,262451,40304234,SLIP-P-42X36,100,Weekly,2,,Monthly,,,,,
253,277795,40304234,SLIP-P-42X36,25,Weekly,2,,Monthly,,,,,
254,300828,40304234,SLIP-P-42X36,25,Weekly,2,,Monthly,,,,,
255,317006,40766604,Sheet-72-Single-D/C,20,Weekly,2,,Monthly,,,,,
256,244613,40766615,SHEET-SNGL-DC-66X115,20,Weekly,2,,Monthly,,,,,
257,262451,40766615,SHEET-SNGL-DC-66X115,70,Weekly,2,,Monthly,,,,,
258,274672,40766615,SHEET-SNGL-DC-66X115,40,Weekly,2,,Monthly,,,,,
259,277795,40766615,SHEET-SNGL-DC-66X115,20,Weekly,2,,Monthly,,,,,
260,291135,40766615,SHEET-SNGL-DC-66X115,30,Weekly,2,,Monthly,,,,,
261,300828,40766615,SHEET-SNGL-DC-66X115,30,Weekly,2,,Monthly,,,,,
262,257330,41082030,BATH MAT-WHITE,20,Weekly,2,,Monthly,,,,,
263,257404,41082030,BATH MAT-WHITE,40,Weekly,2,,Monthly,,,,,
264,244613,41340000,Towel-Bath-Jumbo,20,Weekly,2,,Monthly,,,,,
265,257330,41340000,Towel-Bath-Jumbo,20,Weekly,2,,Monthly,,,,,
266,257404,41340000,Towel-Bath-Jumbo,40,Weekly,2,,Monthly,,,,,
267,291132,41340000,Towel-Bath-Jumbo,10,Weekly,2,,Monthly,,,,,
268,291135,41340000,Towel-Bath-Jumbo,100,Weekly,2,,Monthly,,,,,
269,300828,41340000,Towel-Bath-Jumbo,120,Weekly,2,,Monthly,,,,,
270,312246,41340000,Towel-Bath-Jumbo,20,Weekly,2,,Monthly,,,,,
271,312248,41340000,Towel-Bath-Jumbo,10,Weekly,2,,Monthly,,,,,
272,321728,41340000,Towel-Bath-Jumbo,5,Weekly,2,,Monthly,,,,,
273,244613,41820000,WASH CLOTH,50,Weekly,2,,Monthly,,,,,
274,257404,41820000,WASH CLOTH,50,Weekly,2,,Monthly,,,,,
275,274672,41820000,WASH CLOTH,50,Weekly,2,,Monthly,,,,,
276,300828,41820000,WASH CLOTH,100,Weekly,2,,Monthly,,,,,
277,313248,41820000,WASH CLOTH,20,Weekly,2,,Monthly,,,,,
278,313249,41820000,WASH CLOTH,10,Weekly,2,,Monthly,,,,,
279,321728,41820000,WASH CLOTH,15,Weekly,2,,Monthly,,,,,
280,291135,44300000,LNDRY BG-BIO HAZ-YLW,2,Weekly,2,,Monthly,,,,,
281,257330,70622400,Dust Mop-24 Untreate,1,Weekly,2,,Monthly,,,,,
282,300828,70622400,Dust Mop-24 Untreate,5,Weekly,2,,Monthly,,,,,
283,257404,70623600,Dust Mop-36 Untreate,1,Weekly,2,,Monthly,,,,,
284,276959,70623600,Dust Mop-36 Untreate,1,Weekly,2,,Monthly,,,,,
285,291130,70623600,Dust Mop-36 Untreate,1,Weekly,2,,Monthly,,,,,
286,291132,70623600,Dust Mop-36 Untreate,1,Weekly,2,,Monthly,,,,,
287,276959,76000000,Mat-Custom-Logo     ,1,Weekly,2,,Monthly,,,,,
288,170808,76080304,MAT-NY/RB-OX GRY-3X4,4,Weekly,2,,Monthly,,,,,
289,245985,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,2,,Monthly,,,,,
290,257330,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,2,,Monthly,,,,,
291,257404,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,2,,Monthly,,,,,
292,276959,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,2,,Monthly,,,,,
293,291130,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,2,,Monthly,,,,,
294,291132,76080304,MAT-NY/RB-OX GRY-3X4,5,Weekly,2,,Monthly,,,,,
295,291135,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,2,,Monthly,,,,,
296,310130,76080304,MAT-NY/RB-OX GRY-3X4,3,Weekly,2,,Monthly,,,,,
297,313248,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,2,,Monthly,,,,,
298,316484,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,2,,Monthly,,,,,
299,291130,76080310,MAT-NY/RB-OX GRY3X10,4,Weekly,2,,Monthly,,,,,
300,291135,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,2,,Monthly,,,,,
